,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
131,Wes Craven,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Horror Mystery,scream 3,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror Mystery
132,Pete Travis,Dennis Quaid,Edgar RamÃÂ­rez,William Hurt,Crime Drama Mystery Thriller,vantage point,Dennis Quaid Edgar RamÃÂ­rez William Hurt Pete Travis Crime Drama Mystery Thriller
133,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Drama Mystery Sci-Fi Thriller,the prestige,Christian Bale Hugh Jackman Scarlett Johansson Christopher Nolan Drama Mystery Sci-Fi Thriller
134,David Koepp,Johnny Depp,Charles S. Dutton,Timothy Hutton,Mystery Thriller,secret window,Johnny Depp Charles S. Dutton Timothy Hutton David Koepp Mystery Thriller
135,Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,Horror Mystery Thriller,the skeleton key,Gena Rowlands Deneen Tyler Joy Bryant Iain Softley Horror Mystery Thriller
136,Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,Horror Mystery Thriller,gothika,Robert Downey Jr. Charles S. Dutton Bernard Hill Mathieu Kassovitz Horror Mystery Thriller
137,Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,Horror Mystery,scream 4,Alison Brie Aimee Teegarden Shenae Grimes-Beech Wes Craven Horror Mystery
138,Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,Mystery Thriller,8mm,Nicolas Cage Chris Bauer Anthony Heald Joel Schumacher Mystery Thriller
139,Russell Mulcahy,Jonathan Winters,Peter Boyle,John Kapelos,Action Adventure Crime Fantasy Mystery Thriller,the shadow,Jonathan Winters Peter Boyle John Kapelos Russell Mulcahy Action Adventure Crime Fantasy Mystery Thriller
140,Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson,Adventure Drama Mystery,extremely loud & incredibly close,Tom Hanks Thomas Horn Stephen Henderson Stephen Daldry Adventure Drama Mystery
141,Michael Caton-Jones,Robert De Niro,James Franco,John Doman,Crime Drama Mystery Thriller,city by the sea,Robert De Niro James Franco John Doman Michael Caton-Jones Crime Drama Mystery Thriller
142,Christian Alvart,Norman Reedus,Dennis Quaid,Eddie Rouse,Action Horror Mystery Sci-Fi Thriller,pandorum,Norman Reedus Dennis Quaid Eddie Rouse Christian Alvart Action Horror Mystery Sci-Fi Thriller
143,Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee,Drama Mystery Sci-Fi Thriller,impostor,Gary Dourdan Mekhi Phifer Tim Guinee Gary Fleder Drama Mystery Sci-Fi Thriller
144,Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca,Action Crime Drama Mystery Thriller,the gunman,Ray Winstone Mark Rylance Jasmine Trinca Pierre Morel Action Crime Drama Mystery Thriller
145,David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes,Action Adventure Mystery Sci-Fi Thriller,star trek: generations,LeVar Burton Alan Ruck Jonathan Frakes David Carson Action Adventure Mystery Sci-Fi Thriller
146,Roman Polanski,Johnny Depp,Frank Langella,Lena Olin,Mystery Thriller,the ninth gate,Johnny Depp Frank Langella Lena Olin Roman Polanski Mystery Thriller
147,Michael Apted,J.K. Simmons,Paul Guilfoyle,Bill Nunn,Crime Drama Mystery Thriller,extreme measures,J.K. Simmons Paul Guilfoyle Bill Nunn Michael Apted Crime Drama Mystery Thriller
148,John Carpenter,Wilford Brimley,Richard Masur,David Clennon,Horror Mystery Sci-Fi,the thing,Wilford Brimley Richard Masur David Clennon John Carpenter Horror Mystery Sci-Fi
149,Jeb Stuart,Gregory Scott Cummins,Claudia Stedelin,Ted Markland,Crime Mystery Thriller,switchback,Gregory Scott Cummins Claudia Stedelin Ted Markland Jeb Stuart Crime Mystery Thriller
150,Jonathan Mostow,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,Action Crime Drama Mystery Thriller,breakdown,Kathleen Quinlan M.C. Gainey J.T. Walsh Jonathan Mostow Action Crime Drama Mystery Thriller
151,Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen,Drama Mystery Romance Thriller,snow falling on cedars,Rick Yune Reeve Carney Daniel von Bargen Scott Hicks Drama Mystery Romance Thriller
152,Mikael HÃÂ¥fstrÃÂ¶m,Anthony Hopkins,Colin O'Donoghue,Toby Jones,Drama Horror Mystery Thriller,the rite,Anthony Hopkins Colin O'Donoghue Toby Jones Mikael HÃÂ¥fstrÃÂ¶m Drama Horror Mystery Thriller
153,Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Mystery Sci-Fi,star trek: the motion picture,Leonard Nimoy Nichelle Nichols Walter Koenig Robert Wise Adventure Mystery Sci-Fi
154,Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle,Crime Drama Mystery Thriller,l.a. confidential,Kevin Spacey Matt McCoy Paul Guilfoyle Curtis Hanson Crime Drama Mystery Thriller
155,John Moore,Mila Kunis,Beau Bridges,Jamie Hector,Action Crime Drama Mystery Thriller,max payne,Mila Kunis Beau Bridges Jamie Hector John Moore Action Crime Drama Mystery Thriller
156,Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,Horror Mystery Thriller,from hell,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror Mystery Thriller
157,Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover,Horror Mystery,mirrors,Jason Flemyng Cameron Boyce Julian Glover Alexandre Aja Horror Mystery
158,Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Action Crime Mystery Thriller,alex cross,Cicely Tyson Chad Lindberg Carmen Ejogo Rob Cohen Action Crime Mystery Thriller
159,Clint Eastwood,Kevin Spacey,Bob Gunton,Leon Rippy,Crime Drama Mystery Thriller,midnight in the garden of good and evil,Kevin Spacey Bob Gunton Leon Rippy Clint Eastwood Crime Drama Mystery Thriller
160,Chris Carter,Mitch Pileggi,Callum Rennie,Nicki Aycox,Drama Mystery Sci-Fi Thriller,the x files: i want to believe,Mitch Pileggi Callum Rennie Nicki Aycox Chris Carter Drama Mystery Sci-Fi Thriller
161,Dominic Sena,Tom Skerritt,Bashar Rahal,Shawn Doyle,Action Crime Mystery Thriller,whiteout,Tom Skerritt Bashar Rahal Shawn Doyle Dominic Sena Action Crime Mystery Thriller
162,Brian Helgeland,Heath Ledger,Mark Addy,Benno FÃÂ¼rmann,Action Mystery Thriller,the order,Heath Ledger Mark Addy Benno FÃÂ¼rmann Brian Helgeland Action Mystery Thriller
163,unknown,Ruth Wilson,Indira Varma,Warren Brown,Crime Drama Mystery Thriller,lutherÃÂ            ,Ruth Wilson Indira Varma Warren Brown unknown Crime Drama Mystery Thriller
164,Brian De Palma,Peter Coyote,Gregg Henry,Rie Rasmussen,Crime Drama Mystery Thriller,femme fatale,Peter Coyote Gregg Henry Rie Rasmussen Brian De Palma Crime Drama Mystery Thriller
165,Wes Ball,Ki Hong Lee,Aml Ameen,Jacob Latimore,Action Mystery Sci-Fi Thriller,the maze runner,Ki Hong Lee Aml Ameen Jacob Latimore Wes Ball Action Mystery Sci-Fi Thriller
166,Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,Crime Horror Mystery Thriller,the watcher,Keanu Reeves Joseph Sikora Chris Ellis Joe Charbanic Crime Horror Mystery Thriller
167,Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,Mystery Sci-Fi Thriller,source code,Jake Gyllenhaal Cas Anvar Russell Peters Duncan Jones Mystery Sci-Fi Thriller
168,Joel Schumacher,Logan Lerman,Virginia Madsen,Ed Lauter,Mystery Thriller,the number 23,Logan Lerman Virginia Madsen Ed Lauter Joel Schumacher Mystery Thriller
169,Steven Soderbergh,Tony Curran,Beau Bridges,Leland Orser,Drama Mystery Thriller,the good german,Tony Curran Beau Bridges Leland Orser Steven Soderbergh Drama Mystery Thriller
170,Ariel Vromen,Gary Oldman,Jordi MollÃÂ ,Doug Cockle,Action Crime Drama Mystery Sci-Fi Thriller,criminal,Gary Oldman Jordi MollÃÂ  Doug Cockle Ariel Vromen Action Crime Drama Mystery Sci-Fi Thriller
171,Scott Hicks,Anthony Hopkins,Mika Boorem,Hope Davis,Drama Mystery,hearts in atlantis,Anthony Hopkins Mika Boorem Hope Davis Scott Hicks Drama Mystery
172,Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,Crime Drama Mystery Sci-Fi Thriller,frequency,Dennis Quaid Andre Braugher Noah Emmerich Gregory Hoblit Crime Drama Mystery Sci-Fi Thriller
173,David Fincher,Morgan Freeman,Brad Pitt,Reg E. Cathey,Crime Drama Mystery Thriller,se7en,Morgan Freeman Brad Pitt Reg E. Cathey David Fincher Crime Drama Mystery Thriller
174,Clint Eastwood,John Doman,Spencer Treat Clark,Tom Guiry,Crime Drama Mystery Thriller,mystic river,John Doman Spencer Treat Clark Tom Guiry Clint Eastwood Crime Drama Mystery Thriller
175,John Singleton,Josh Charles,Tony Nappo,Fionnula Flanagan,Action Crime Drama Mystery Thriller,four brothers,Josh Charles Tony Nappo Fionnula Flanagan John Singleton Action Crime Drama Mystery Thriller
176,Steven Brill,Antony Starr,Scott Adsit,Bonnie Somerville,Adventure Comedy Mystery,without a paddle,Antony Starr Scott Adsit Bonnie Somerville Steven Brill Adventure Comedy Mystery
177,Steve Box,Mark Gatiss,Geraldine McEwan,Peter Sallis,Animation Comedy Family Mystery Sci-Fi,the curse of the were-rabbit,Mark Gatiss Geraldine McEwan Peter Sallis Steve Box Animation Comedy Family Mystery Sci-Fi
178,Joe Wright,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,Drama Mystery Romance War,atonement,Benedict Cumberbatch Alfie Allen Brenda Blethyn Joe Wright Drama Mystery Romance War
179,Denis Villeneuve,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,Action Crime Drama Mystery Thriller,sicario,Edgar Arreola Bernardo Saracino Daniel Kaluuya Denis Villeneuve Action Crime Drama Mystery Thriller
180,Drew Goddard,Chris Hemsworth,Bradley Whitford,Kristen Connolly,Fantasy Horror Mystery Thriller,the cabin in the woods,Chris Hemsworth Bradley Whitford Kristen Connolly Drew Goddard Fantasy Horror Mystery Thriller
181,unknown,Zach Gilford,Joan Allen,Liam James,Drama Mystery,the familyÃÂ            ,Zach Gilford Joan Allen Liam James unknown Drama Mystery
182,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,Action Adventure Animation Drama Mystery Sci-Fi Thriller,9,Martin Landau Alan Oppenheimer Tom Kane Shane Acker Action Adventure Animation Drama Mystery Sci-Fi Thriller
183,Scott Derrickson,Olivia Munn,Dorian Missick,Edgar RamÃÂ­rez,Horror Mystery Thriller,deliver us from evil,Olivia Munn Dorian Missick Edgar RamÃÂ­rez Scott Derrickson Horror Mystery Thriller
184,Jon Avnet,Al Pacino,Alicia Witt,Deborah Kara Unger,Crime Drama Mystery Thriller,88 minutes,Al Pacino Alicia Witt Deborah Kara Unger Jon Avnet Crime Drama Mystery Thriller
185,Terry Gilliam,Andrew Garfield,Lily Cole,Verne Troyer,Adventure Fantasy Mystery,the imaginarium of doctor parnassus,Andrew Garfield Lily Cole Verne Troyer Terry Gilliam Adventure Fantasy Mystery
186,Liliana Cavani,Ray Winstone,Dougray Scott,Chiara Caselli,Crime Drama Mystery Thriller,ripley's game,Ray Winstone Dougray Scott Chiara Caselli Liliana Cavani Crime Drama Mystery Thriller
187,unknown,Amanda Schull,Kirk Acevedo,Tom Noonan,Adventure Drama Mystery Sci-Fi Thriller,12 monkeysÃÂ            ,Amanda Schull Kirk Acevedo Tom Noonan unknown Adventure Drama Mystery Sci-Fi Thriller
188,John Maybury,Jennifer Jason Leigh,Jason Lewis,Angel Coulby,Drama Mystery Sci-Fi Thriller,the jacket,Jennifer Jason Leigh Jason Lewis Angel Coulby John Maybury Drama Mystery Sci-Fi Thriller
189,James Mangold,Clea DuVall,Rebecca De Mornay,Jake Busey,Mystery Thriller,identity,Clea DuVall Rebecca De Mornay Jake Busey James Mangold Mystery Thriller
190,Gary Fleder,Morgan Freeman,Tony Goldwyn,Tatyana Ali,Crime Drama Mystery Thriller,kiss the girls,Morgan Freeman Tony Goldwyn Tatyana Ali Gary Fleder Crime Drama Mystery Thriller
191,Alex Proyas,Rufus Sewell,William Hurt,Bruce Spence,Action Drama Fantasy Mystery Sci-Fi Thriller,dark city,Rufus Sewell William Hurt Bruce Spence Alex Proyas Action Drama Fantasy Mystery Sci-Fi Thriller
192,Walter Murch,Piper Laurie,Jean Marsh,Tim Rose,Adventure Family Fantasy Horror Mystery,return to oz,Piper Laurie Jean Marsh Tim Rose Walter Murch Adventure Family Fantasy Horror Mystery
193,Christian Alvart,Bradley Cooper,Callum Rennie,Vanesa Tomasino,Horror Mystery Thriller,case 39,Bradley Cooper Callum Rennie Vanesa Tomasino Christian Alvart Horror Mystery Thriller
194,E. Elias Merhige,Harry Lennix,Kevin Chamberlin,William Mapother,Crime Drama Mystery Thriller,suspect zero,Harry Lennix Kevin Chamberlin William Mapother E. Elias Merhige Crime Drama Mystery Thriller
195,Renny Harlin,LL Cool J,Clifton Collins Jr.,Eion Bailey,Crime Horror Mystery Thriller,mindhunters,LL Cool J Clifton Collins Jr. Eion Bailey Renny Harlin Crime Horror Mystery Thriller
196,Scott Frank,Liam Neeson,Boyd Holbrook,David Harbour,Crime Drama Mystery Thriller,a walk among the tombstones,Liam Neeson Boyd Holbrook David Harbour Scott Frank Crime Drama Mystery Thriller
197,Wes Craven,Robert Pine,Carl Gilliard,Suzie Plakson,Mystery Thriller,red eye,Robert Pine Carl Gilliard Suzie Plakson Wes Craven Mystery Thriller
198,Michael Cristofer,Angelina Jolie Pitt,Gregory Itzin,Jack Thompson,Drama Mystery Romance Thriller,original sin,Angelina Jolie Pitt Gregory Itzin Jack Thompson Michael Cristofer Drama Mystery Romance Thriller
199,James McTeigue,Pam Ferris,Dave Legeno,Kevin McNally,Crime Mystery Thriller,the raven,Pam Ferris Dave Legeno Kevin McNally James McTeigue Crime Mystery Thriller
200,Woody Allen,Woody Allen,Elizabeth Berkley,Peter Gerety,Comedy Crime Mystery Romance,the curse of the jade scorpion,Woody Allen Elizabeth Berkley Peter Gerety Woody Allen Comedy Crime Mystery Romance
201,Tarsem Singh,Ryan Reynolds,Derek Luke,Sandra Ellis Lafferty,Action Mystery Sci-Fi Thriller,self/less,Ryan Reynolds Derek Luke Sandra Ellis Lafferty Tarsem Singh Action Mystery Sci-Fi Thriller
202,Fernando Meirelles,Archie Panjabi,Danny Huston,Donald Sumpter,Drama Mystery Romance Thriller,the constant gardener,Archie Panjabi Danny Huston Donald Sumpter Fernando Meirelles Drama Mystery Romance Thriller
203,Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Tim Blake Nelson,Adventure Comedy Family Fantasy Horror Mystery,scooby-doo 2: monsters unleashed,Sarah Michelle Gellar Linda Cardellini Tim Blake Nelson Raja Gosnell Adventure Comedy Family Fantasy Horror Mystery
204,Oleg Stepchenko,Jason Flemyng,Igor Jijikine,Agnia Ditkovskite,Adventure Fantasy Mystery Thriller,viy,Jason Flemyng Igor Jijikine Agnia Ditkovskite Oleg Stepchenko Adventure Fantasy Mystery Thriller
205,John Polson,Robert De Niro,Dylan Baker,Robert John Burke,Drama Horror Mystery Thriller,hide and seek,Robert De Niro Dylan Baker Robert John Burke John Polson Drama Horror Mystery Thriller
206,Sylvain White,Chris Evans,Jason Patric,ÃÂscar Jaenada,Action Crime Drama Mystery Thriller,the losers,Chris Evans Jason Patric ÃÂscar Jaenada Sylvain White Action Crime Drama Mystery Thriller
207,Richard Kelly,Frank Langella,Gillian Jacobs,Celia Weston,Drama Fantasy Mystery Thriller,the box,Frank Langella Gillian Jacobs Celia Weston Richard Kelly Drama Fantasy Mystery Thriller
208,Ringo Lam,Natasha Henstridge,Zach Grenier,Paul Ben-Victor,Action Crime Mystery Romance Thriller,maximum risk,Natasha Henstridge Zach Grenier Paul Ben-Victor Ringo Lam Action Crime Mystery Romance Thriller
209,Stephen Gaghan,Charlie Hunnam,Zooey Deschanel,Tony Goldwyn,Drama Music Mystery Romance Thriller,abandon,Charlie Hunnam Zooey Deschanel Tony Goldwyn Stephen Gaghan Drama Music Mystery Romance Thriller
210,Jonathan Kaplan,John Doe,Tom Amandes,Daniel Lapaine,Drama Mystery Thriller,brokedown palace,John Doe Tom Amandes Daniel Lapaine Jonathan Kaplan Drama Mystery Thriller
211,Fernando Meirelles,Don McKellar,Joe Pingue,YÃÂ»suke Iseya,Drama Mystery Sci-Fi Thriller,blindness,Don McKellar Joe Pingue YÃÂ»suke Iseya Fernando Meirelles Drama Mystery Sci-Fi Thriller
212,Atom Egoyan,Colin Firth,Alison Lohman,Rachel Blanchard,Crime Drama Mystery Thriller,where the truth lies,Colin Firth Alison Lohman Rachel Blanchard Atom Egoyan Crime Drama Mystery Thriller
213,Giuseppe Tornatore,Jim Sturgess,Sean Buchanan,Liya Kebede,Crime Drama Mystery Romance,the best offer,Jim Sturgess Sean Buchanan Liya Kebede Giuseppe Tornatore Crime Drama Mystery Romance
214,Wes Craven,Omar Epps,Jada Pinkett Smith,Kevin Williamson,Horror Mystery,scream 2,Omar Epps Jada Pinkett Smith Kevin Williamson Wes Craven Horror Mystery
215,Danny Cannon,Muse Watson,Mekhi Phifer,Bill Cobbs,Horror Mystery,i still know what you did last summer,Muse Watson Mekhi Phifer Bill Cobbs Danny Cannon Horror Mystery
216,John Dahl,Paul Walker,Jessica Bowman,Dell Yount,Mystery Thriller,joy ride,Paul Walker Jessica Bowman Dell Yount John Dahl Mystery Thriller
217,Paul Haggis,James Franco,Charlize Theron,Barry Corbin,Crime Drama Mystery Thriller,in the valley of elah,James Franco Charlize Theron Barry Corbin Paul Haggis Crime Drama Mystery Thriller
218,Irwin Winkler,Ken Howard,Jeremy Northam,Ray McKinnon,Action Crime Drama Mystery Thriller,the net,Ken Howard Jeremy Northam Ray McKinnon Irwin Winkler Action Crime Drama Mystery Thriller
219,Daniel Sackheim,Chris Noth,Bruce Dern,Trevor Morgan,Crime Drama Mystery Thriller,the glass house,Chris Noth Bruce Dern Trevor Morgan Daniel Sackheim Crime Drama Mystery Thriller
220,Ethan Coen,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,Comedy Mystery,"hail, caesar!",Scarlett Johansson Channing Tatum Alden Ehrenreich Ethan Coen Comedy Mystery
221,Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,Drama Mystery Thriller,before i go to sleep,Colin Firth Ben Crompton Anne-Marie Duff Rowan Joffe Drama Mystery Thriller
222,Tony Gilroy,Tom Wilkinson,Denis O'Hare,Sydney Pollack,Crime Drama Mystery Thriller,michael clayton,Tom Wilkinson Denis O'Hare Sydney Pollack Tony Gilroy Crime Drama Mystery Thriller
223,Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,Drama Mystery Thriller,tinker tailor soldier spy,Benedict Cumberbatch Colin Firth Gary Oldman Tomas Alfredson Drama Mystery Thriller
224,James Wan,Mackenzie Foy,Lili Taylor,Hayley McFarland,Horror Mystery Thriller,the conjuring,Mackenzie Foy Lili Taylor Hayley McFarland James Wan Horror Mystery Thriller
225,D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Drama Mystery Thriller,disturbia,Sarah Roemer Aaron Yoo Jose Pablo Cantillo D.J. Caruso Drama Mystery Thriller
226,Paul McGuigan,Jessica ParÃÂ©,Christopher Cousins,Mark Camacho,Drama Mystery Romance Thriller,wicker park,Jessica ParÃÂ© Christopher Cousins Mark Camacho Paul McGuigan Drama Mystery Romance Thriller
227,Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure Comedy Drama Family Mystery,holes,Tim Blake Nelson Zane Holtz Ski Carr Andrew Davis Adventure Comedy Drama Family Mystery
228,Stephen Kay,Barry Watson,Skye McCole Bartusiak,Charles Mesure,Drama Horror Mystery Thriller,boogeyman,Barry Watson Skye McCole Bartusiak Charles Mesure Stephen Kay Drama Horror Mystery Thriller
229,Mennan Yapo,Nia Long,Amber Valletta,Marc Macaulay,Drama Mystery Thriller,premonition,Nia Long Amber Valletta Marc Macaulay Mennan Yapo Drama Mystery Thriller
230,John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,Drama Mystery,doubt,Philip Seymour Hoffman Meryl Streep Carrie Preston John Patrick Shanley Drama Mystery
231,Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,Crime Drama Mystery Thriller,copycat,William McNamara Holly Hunter Harry Connick Jr. Jon Amiel Crime Drama Mystery Thriller
232,Kevin Reynolds,Peter Firth,Jan Cornet,MarÃÂ­a Botto,Action Adventure Drama Mystery,risen,Peter Firth Jan Cornet MarÃÂ­a Botto Kevin Reynolds Action Adventure Drama Mystery
233,John McNaughton,Bill Murray,Robert Wagner,Jeff Perry,Crime Drama Mystery Thriller,wild things,Bill Murray Robert Wagner Jeff Perry John McNaughton Crime Drama Mystery Thriller
234,Eric Valette,Johnny Lewis,Jason Beghe,Margaret Cho,Horror Mystery,one missed call,Johnny Lewis Jason Beghe Margaret Cho Eric Valette Horror Mystery
235,Andrew Fleming,Kay Panabaker,Laura Harring,Tate Donovan,Comedy Crime Family Mystery Romance Thriller,nancy drew,Kay Panabaker Laura Harring Tate Donovan Andrew Fleming Comedy Crime Family Mystery Romance Thriller
236,Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,Adventure Crime Mystery Sci-Fi Thriller,nerve,Samira Wiley Marc John Jefferies Emily Meade Henry Joost Adventure Crime Mystery Sci-Fi Thriller
237,Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,Horror Mystery Thriller,psycho,Janet Leigh Vera Miles John Gavin Alfred Hitchcock Horror Mystery Thriller
238,Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,Adventure Drama Horror Mystery Thriller,silent hill: revelation 3d,Radha Mitchell Deborah Kara Unger Martin Donovan Michael J. Bassett Adventure Drama Horror Mystery Thriller
239,Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,Animation Family Fantasy Mystery,pooh's heffalump movie,Kath Soucie Brenda Blethyn John Fiedler Frank Nissen Animation Family Fantasy Mystery
240,Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,Crime Drama Mystery Thriller,secret in their eyes,Julia Roberts Michael Kelly Joe Cole Billy Ray Crime Drama Mystery Thriller
241,Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,Drama Mystery Romance Thriller War,the quiet american,Brendan Fraser Tzi Ma Holmes Osborne Phillip Noyce Drama Mystery Romance Thriller War
242,Matt Reeves,ChloÃÂ« Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,Drama Fantasy Horror Mystery,let me in,ChloÃÂ« Grace Moretz Dylan Minnette Kodi Smit-McPhee Matt Reeves Drama Fantasy Horror Mystery
243,Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,Comedy Crime Drama Mystery Romance,inherent vice,Martin Dew Katherine Waterston Serena Scott Thomas Paul Thomas Anderson Comedy Crime Drama Mystery Romance
244,unknown,LeVar Burton,Eric McCormack,Scott Wolf,Crime Drama Mystery Thriller,perceptionÃÂ            ,LeVar Burton Eric McCormack Scott Wolf unknown Crime Drama Mystery Thriller
245,Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller,a scanner darkly,Robert Downey Jr. Keanu Reeves Rory Cochrane Richard Linklater Animation Drama Mystery Sci-Fi Thriller
246,Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,birth,Cameron Bright Anne Heche Danny Huston Jonathan Glazer Drama Mystery Romance Thriller
247,Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,bon voyage,Isabelle Adjani Peter Coyote Virginie Ledoyen Jean-Paul Rappeneau Comedy Drama Mystery Romance Thriller War
248,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,all good things,Ryan Gosling Kirsten Dunst Frank Langella Andrew Jarecki Crime Drama Mystery Romance Thriller
249,Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,dylan dog: dead of night,Marco St. John Laura Spencer Anita Briem Kevin Munroe Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller
250,Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,people i know,Al Pacino Richard Schiff Mark Webber Daniel Algrant Crime Drama Mystery
251,Alejandro AmenÃÂ¡bar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,regression,Emma Watson Aaron Ashmore Julian Richings Alejandro AmenÃÂ¡bar Crime Drama Mystery Thriller
252,Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,the frozen ground,Nicolas Cage Radha Mitchell Jodi Lyn O'Keefe Scott Walker Crime Drama Mystery Thriller
253,Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,sea of love,Al Pacino Michael O'Neill Ellen Barkin Harold Becker Crime Drama Mystery Thriller
254,Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,scream,David Arquette W. Earl Brown Roger Jackson Wes Craven Horror Mystery
255,William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,house on haunted hill,Jeffrey Combs Peter Gallagher Bridgette Wilson-Sampras William Malone Horror Mystery Thriller
256,Andrew Douglas,Jimmy Bennett,ChloÃÂ« Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller,the amityville horror,Jimmy Bennett ChloÃÂ« Grace Moretz Ryan Reynolds Andrew Douglas Drama Horror Mystery Thriller
257,Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,prom night,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick Horror Mystery
258,Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery,gosford park,Kristin Scott Thomas Bob Balaban Tom Hollander Robert Altman Drama Mystery
259,Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller,young sherlock holmes,Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Barry Levinson Adventure Fantasy Mystery Thriller
260,Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,Mystery Thriller,blow out,Nancy Allen Dennis Franz John McMartin Brian De Palma Mystery Thriller
261,unknown,Poppy Montgomery,Dylan Walsh,Dallas Roberts,Drama Mystery,unforgettableÃÂ            ,Poppy Montgomery Dylan Walsh Dallas Roberts unknown Drama Mystery
262,Michael Haneke,Ulrich Tukur,Burghart KlauÃÂner,Leonie Benesch,Drama Mystery,the white ribbon,Ulrich Tukur Burghart KlauÃÂner Leonie Benesch Michael Haneke Drama Mystery
263,D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,Crime Drama Mystery Thriller,the salton sea,Adam Goldberg Meat Loaf Anthony LaPaglia D.J. Caruso Crime Drama Mystery Thriller
264,Rodrigo CortÃÂ©s,Robert De Niro,Toby Jones,Craig Roberts,Drama Horror Mystery Thriller,red lights,Robert De Niro Toby Jones Craig Roberts Rodrigo CortÃÂ©s Drama Horror Mystery Thriller
